name,tag,sd,sd_tag,sgg,sgg_tag,latitude,longitude
서울특별시 강동구,서울 강동,서울특별시,서울,강동구,강동,37.530126,127.1237708
서울특별시 송파구,서울 송파,서울특별시,서울,송파구,송파,37.5145636,127.1059186
서울특별시 강남구,서울 강남,서울특별시,서울,강남구,강남,37.517305,127.047502
서울특별시 서초구,서울 서초,서울특별시,서울,서초구,서초,37.483569,127.032598
서울특별시 관악구,서울 관악,서울특별시,서울,관악구,관악,37.4781549,126.9514847
서울특별시 동작구,서울 동작,서울특별시,서울,동작구,동작,37.51245,126.9395
서울특별시 영등포구,서울 영등포,서울특별시,서울,영등포구,영등포,37.526436,126.896004
서울특별시 금천구,서울 금천,서울특별시,서울,금천구,금천,37.4568644,126.8955105
서울특별시 구로구,서울 구로,서울특별시,서울,구로구,구로,37.495472,126.887536
서울특별시 강서구,서울 강서,서울특별시,서울,강서구,강서,37.550937,126.849642
서울특별시 양천구,서울 양천,서울특별시,서울,양천구,양천,37.517016,126.866642
서울특별시 마포구,서울 마포,서울특별시,서울,마포구,마포,37.5663245,126.901491
서울특별시 서대문구,서울 서대문,서울특별시,서울,서대문구,서대문,37.579225,126.9368
서울특별시 은평구,서울 은평,서울특별시,서울,은평구,은평,37.602784,126.929164
서울특별시 노원구,서울 노원,서울특별시,서울,노원구,노원,37.654358,127.056473
서울특별시 도봉구,서울 도봉,서울특별시,서울,도봉구,도봉,37.668768,127.047163
서울특별시 강북구,서울 강북,서울특별시,서울,강북구,강북,37.6397819,127.0256135
서울특별시 성북구,서울 성북,서울특별시,서울,성북구,성북,37.5894,127.016749
서울특별시 중랑구,서울 중랑,서울특별시,서울,중랑구,중랑,37.6063242,127.0925842
서울특별시 동대문구,서울 동대문,서울특별시,서울,동대문구,동대문,37.574524,127.03965
서울특별시 광진구,서울 광진,서울특별시,서울,광진구,광진,37.538617,127.082375
서울특별시 성동구,서울 성동,서울특별시,서울,성동구,성동,37.563456,127.036821
서울특별시 용산구,서울 용산,서울특별시,서울,용산구,용산,37.532527,126.99049
서울특별시 중구,서울 중구,서울특별시,서울,중구,중구,37.563843,126.997602
서울특별시 종로구,서울 종로,서울특별시,서울,종로구,종로,37.5735207,126.9788345
부산광역시 기장군,부산 기장,부산광역시,부산,기장군,기장,35.244498,129.222312
부산광역시 사상구,부산 사상,부산광역시,부산,사상구,사상,35.152624,128.99125
부산광역시 수영구,부산 수영,부산광역시,부산,수영구,수영,35.145694,129.113186
부산광역시 연제구,부산 연제,부산광역시,부산,연제구,연제,35.176242,129.079764
부산광역시 강서구,부산 강서,부산광역시,부산,강서구,강서,35.2122179,128.98045
부산광역시 금정구,부산 금정,부산광역시,부산,금정구,금정,35.243068,129.0921
부산광역시 사하구,부산 사하,부산광역시,부산,사하구,사하,35.104585,128.974817
부산광역시 해운대구,부산 해운대,부산광역시,부산,해운대구,해운대,35.163177,129.163634
부산광역시 북구,부산 북구,부산광역시,부산,북구,북구,35.197185,128.990438
부산광역시 남구,부산 남구,부산광역시,부산,남구,남구,35.136577,129.084163
부산광역시 동래구,부산 동래,부산광역시,부산,동래구,동래,35.1964382,129.0938569
부산광역시 부산진구,부산 부산진,부산광역시,부산,부산진구,부산진,35.162913,129.053157
부산광역시 영도구,부산 영도,부산광역시,부산,영도구,영도,35.091199,129.067875
부산광역시 동구,부산 동구,부산광역시,부산,동구,동구,35.1292746,129.0453253
부산광역시 서구,부산 서구,부산광역시,부산,서구,서구,35.0979321,129.0244125
